ncm,descripcion,die_aec,tasa_estadistica,iva,iva_reducido,bk_bit,nota
00300220,Las demas,2,3,21,false,,Base NCM feb-2023 (Kaggle).
01012100,Sangre pura de carrera,,3,21,false,,Base NCM feb-2023 (Kaggle).
01012900,Sangre pura de carrera,2,3,21,false,,Base NCM feb-2023 (Kaggle).
01013000,-Asnos,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01019000,-Los demas,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01022110,Preñadas o con cria al pie,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01022190,Toros y toritos,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01022911,Preñadas o con cria al pie,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01022919,Toros y toritos,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01022990,Toros y toritos,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01023110,Preñadas o con cria al pie,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01023190,Los demas,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01023911,Preñadas o con cria al pie,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01023919,Los demas,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01023990,Los demas,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01029000,-Los demas,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01031000,Puros por pedrigree. excepto los de quinta generacion (R.2507/93 ex-ANA),,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01039100,Para consumo,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01039200,Para consumo,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01041011,Preñadas o con cria al pie,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01041019,Los demas,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01041090,Para consumo,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01042010,Reproductores de raza pura,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01042090,Para consumo,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01051110,De lineas puras o hibridas. para reproduccion,,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01051190,Los demas,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01051200,--Pavos (gallipavos),2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01051300,--Patos,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01051400,--Gansos,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01051500,--Pintadas,2,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01059400,--Aves de la especie Gallus domesticus,4,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01059900,--Los demas,4,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01061100,--Primates,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01061200,--Ballenas. delfines y marsopas (mamiferos del orden Cetacea); manaties y dugones o dugongos (mamiferos del orden Sirenia); otarios y focas. leones marinos y morsas (mamiferos del suborden Pinnipedia),4,3,21,false,,Base NCM feb-2023 (Kaggle).
01061300,--Camellos y demas camelidos (Camelidae),4,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01061400,Conejos,4,3,10.5,true,,Base NCM feb-2023 (Kaggle).
01061900,Animales de las especies principalmente utilizadas para la alimentacion humana,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01062000,Ofidios,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01063100,--Aves de rapiña,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01063200,Loros,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01063310,Avestruces (Struthio camelus). para reproduccion (R.359/99 MEOYSP),,3,21,false,,Base NCM feb-2023 (Kaggle).
01063390,Las demas,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01063900,Palomas,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01064100,Raza caucasica,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01064900,--Los demas,4,3,21,false,,Base NCM feb-2023 (Kaggle).
01069000,Rana Toro (Rana catesbeiana) (larvas. postmetamorficos. juveniles y adultos),4,3,21,false,,Base NCM feb-2023 (Kaggle).
02011000,Del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02012010,Del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02012020,Del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02012090,Medias canales incompletas. excepto del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02013000,Aguja,12,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02021000,Del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02022010,Del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02022020,Del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02022090,Medias canales incompletas. excepto del Genero Bubalus,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02023000,Aguja,12,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02031100,--En canales o medias canales,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02031200,--Piernas. paletas. y sus trozos. sin deshuesar,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02031900,Piernas,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02032100,--En canales o medias canales,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02032200,--Piernas. paletas. y sus trozos. sin deshuesar,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02032900,Piernas,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
